school_name,state,start_date,end_date,news_link,notes
Purdue University ,IN,2020-03-23,,https://www.purdue.edu/president/messages/campus-community/2020/2003-coronavirus-update-2.php,
Radford University,VA,2020-03-23,,https://www.radford.edu/content/radfordcore/home/coronavirus/updates/president-message-march-11.html,"We plan to resume all classes, online, on Monday, March 23."
Rensselaer Polytechnic Institute,NY,2020-03-16,2020-05-08,https://info.rpi.edu/coronavirus/communications#COVID19RemoteInstructionExtendedtoEndofSpringSemester2020,
Rice University,TX,2020-03-09,2020-03-22,https://emergency.rice.edu/news/rice-alert-%E2%80%93-classes-canceled-week-march-9,
Rider University ,NJ,2020-03-13,2020-03-27,https://www.rider.edu/coronavirus,
Roger Williams University,RI,2020-03-10,,https://www.abc6.com/uri-moves-to-online-classes-extends-spring-break/,
Rowan University,NJ,2020-03-12,,https://www.rowan.edu/virusinfo/,"As of Tuesday, March 10, the University extended spring break to two weeks (March 16-28) to allow faculty time to convert course material to be delivered remotely (i.e., Webex) beginning March 30. Although we are extending spring break one week, we are not extending the semester."
Rutgers University,NJ,2020-03-12,2020-04-03,https://president.rutgers.edu/public-remarks/letters/important-update-university-operating-status-regarding-covid-19,Rutgers university will cancel all in-person activity including commencement until May
Sacramento State University,CA,2020-03-16,,https://www.csus.edu/alert/coronavirus.html,transitioning to online courses for the rest of the semester \u672c\u5b66\u671f\u63a5\u4e0b\u6765\u7684\u8bfe\u7a0b\u5c06\u5728\u7ebf\u8fdb\u884c
Sacred Heart University,CT,2020-03-11,2020-03-29,https://www.sacredheart.edu/offices--departments-directory/health-services/coronavirus/,
Saint Louis University ,MO,2020-03-23,2020-04-30,https://www.slu.edu/health-advisory/index.php,
Salisbury University,MD,2020-03-14,,https://www.wbaltv.com/article/university-system-of-maryland-schools-to-prepare-for-remote-instruction-following-spring-break/31351840,
San Diego State University ,CA,2020-03-13,,https://sa.sdsu.edu/student-health-services/coronavirus,
San Francisco State University,CA,2020-03-10,2020-04-05,https://news.sfsu.edu/coronavirus,
San Jose State University,CA,2020-03-10,2020-03-27,http://blogs.sjsu.edu/newsroom/2020/updates-on-novel-coronavirus-outbreak/,
Santa Clara University ,CA,2020-03-10,2020-04-13,https://www.scu.edu/covid-19/,
Sarah Lawrence College,NY,2020-03-23,2020-04-03,https://www.sarahlawrence.edu/status/covid/,
Savannah College of Art and Design,GA,2020-03-12,,https://www.savannahnow.com/news/20200312/scad-announces-all-spring-quarter-classes-will-only-be-offered-online-commencement-ceremonies-canceled,"In addition, spring break will be extended by one week, in order to help students who need to make travel arrangements. Spring classes will begin online on Monday, March 30, 2020 for students at all locations, and the spring quarter will be condensed in order to end on the original date, Thursday, May 28. "
School of Visual Arts,NY,2020-03-11,,https://sva.edu/features/message-from-sva-about-covid-19-novel-coronavirus,
Seattle Pacific University ,WA,2020-03-19,2020-06-22,https://spu.edu/administration/health-services/hs-news/2020/COVID-19,
Seattle University,WA,2020-03-09,2020-03-29,https://www.seattleu.edu/coronavirus/,
